year,commodity_type_en,commodity_type_fr,solicitation_code,contracts_count,original_value,amendment_value,department_en,department_fr
2021,Good,Biens,TN,165,3403273.12,46038.21,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2021,Construction,Construction,TN,3,60264.63,13923.46,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Service,Services,OB,207,25111433.41,35310641.93,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Good,Biens,OB,145,10045053.08,14568.64,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Construction,Construction,OB,26,4119771.02,269392.18,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Service,Services,TC,349,15834656.09,6698237.52,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Good,Biens,TC,597,19437539.28,26391.68,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Construction,Construction,TC,65,2203373.97,119291.84,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Service,Services,TN,263,10246779.07,1184505.02,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Good,Biens,TN,161,4854307.59,361668.44,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Construction,Construction,TN,7,100541.22,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Service,Services,AC,26,2157048.21,-49330.44,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Good,Biens,AC,11,1403684.46,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2017,Construction,Construction,AC,0,0,0,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Service,Services,TC,372,29068502.25,15147470.38,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Good,Biens,TC,456,16155013.51,68550.98,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
2018,Construction,Construction,TC,79,3220616.86,221863.76,Agriculture and Agri-Food Canada,Agriculture et Agroalimentaire Canada
